Videojuego,Genero,Precio_Lanzamiento_USD,Ventas_NA_Millones,Ventas_Europa_Millones,Ventas_Globales_Millones
Tekken 7,Lucha,49.99,1.2,1,10
Super Smash Bros. Melee,Lucha,49.99,4.67,1.63,7.07
Super Smash Bros. Brawl,Lucha,49.99,4.56,2.08,13.3
Super Smash Bros. Ultimate,Lucha,59.99,6.9,5.1,36.44
Animal Crossing: New Horizons,Simulación,59.99,5.6,4.3,46.45
Animal Crossing: Wild World,Simulación,34.99,2.55,2,12.13
Mario Party 8,Party,49.99,3.81,1.15,8.85
Mario Party Superstars,Party,59.99,2.8,2.1,12
The Sims,Simulación,49.99,3.5,2.9,11
The Sims 2,Simulación,49.99,4.12,2.3,13
The Sims 3,Simulación,49.99,4.5,3.2,15
Need for Speed Underground,Carreras,49.99,3.2,2.4,11
Need for Speed Most Wanted,Carreras,49.99,4.2,3.1,16
Need for Speed Carbon,Carreras,49.99,2.7,2.2,8.5
FIFA 18,Deportes,59.99,2,4,26
FIFA 19,Deportes,59.99,2.1,4.2,23
FIFA 20,Deportes,59.99,1.8,3.9,20
FIFA 21,Deportes,59.99,1.5,3.5,14
NBA 2K16,Deportes,59.99,2.5,1.2,7
NBA 2K18,Deportes,59.99,2.2,1.4,8
Portal 2,Puzzle,49.99,2.1,1.8,4.5
The Witcher 3,RPG,49.99,2.9,3.8,15
Cyberpunk 2077,RPG,59.99,3.5,3.2,25
Wii Sports,Plataformas,49.99,5.38,1.8,11
Pokemon Red/Blue,Shooter,49.99,1.87,2.8,13.4
Grand Theft Auto III,Aventura,26.95,4.46,3.2,10
Need for Speed Underground,Shooter,49.99,3.01,1,10
The Legend of Zelda: Tears of the Kingdom,Deportes,49.99,2.1,3.58,37.38
Resident Evil 7,RPG,59.99,9.09,3.4,7.41
Mario Kart 8 Deluxe,Deportes,59.99,5.17,3.63,13.2
Super Mario Bros. 3,Shooter,34.99,3.1,5.26,46.45
Super Mario Galaxy,Shooter,59.99,1.87,4.32,15
Nintendogs,Deportes,49.99,2.8,1.4,14.1
Tekken 7,Shooter,49.99,3.8,3.3,37.38
Grand Theft Auto V,RPG,49.99,3.75,2.5,12.14
Super Mario Galaxy,RPG,59.99,2.97,8.03,15
The Witcher 3,Shooter,59.99,14.59,2.2,16
Gran Turismo 4,Carreras,59.99,2.5,4,16.22
The Legend of Zelda: Tears of the Kingdom,RPG,59.99,5.38,2.08,17
God of War,RPG,49.99,11.28,2.71,12.72
Super Smash Bros. Melee,Shooter,59.99,9.44,9.14,17.28
Call of Duty: Black Ops,Deportes,49.99,2.88,1.9,15
Final Fantasy VIII,Shooter,39.99,26.93,1.89,8.05
The Sims 3,RPG,49.99,3.5,3.2,36.44
Gran Turismo 2,Lucha,59.99,5,1.8,4.5
The Legend of Zelda: Breath of the Wild,RPG,39.99,2.51,2.8,28.62
Super Mario World,Simulación,49.99,5.38,3.8,14.76
Call of Duty: Modern Warfare 3,Lucha,49.99,3.81,5.1,17.67
FIFA 21,Carreras,59.99,4,3.5,14.76
God of War,Carreras,19.99,1.2,3.58,12.13
Pokemon Diamond/Pearl,RPG,29.99,5.1,11,22
Mario Kart 8 Deluxe,Carreras,49.99,2.8,4.1,37.38
Gran Turismo 2,RPG,59.99,2.55,3.91,13
The Last of Us Part II,RPG,59.99,7.97,11.01,8
Resident Evil 6,Deportes,59.99,4.5,8.03,17
Call of Duty: Black Ops,Carreras,59.99,15.75,2.2,14.69
Final Fantasy X,Plataformas,49.99,3.34,1.8,15
The Legend of Zelda: Breath of the Wild,Carreras,59.99,2.2,12.88,17
FIFA 21,Deportes,19.99,6.43,3.02,25
Mario Party DS,Deportes,49.99,4.5,0.63,26.74
Super Mario World,RPG,59.99,6.82,2,40.24
Halo 3,Supervivencia,49.99,26.93,1.15,7.6
Red Dead Redemption,Acción,39.99,1.87,2.3,15
Resident Evil 6,Aventura,59.99,2.8,6.05,65
Mario Kart 8,Simulación,34.99,2.1,2.11,65
FIFA 18,Simulación,59.99,2.1,4.2,23
Halo: Combat Evolved,Party,59.99,6.82,3.48,36.44
Wii Fit,Lucha,49.99,2.5,4.1,14.82
Pokemon Gold/Silver,Carreras,59.99,4,1.8,12.72
Portal 2,Carreras,26.95,2.91,6.05,7
Wii Fit Plus,Acción,59.99,2.97,2.1,55.46
FIFA 21,Acción,59.99,3.5,2.5,7.6
Call of Duty: Ghosts,Carreras,49.99,1.7,2.3,18.98
Nintendogs,Shooter,59.99,8.94,8.89,14.82
Pokemon Diamond/Pearl,Shooter,24.99,14.59,11.01,6.3
Gran Turismo 6,Aventura,49.99,9.44,11,12
The Legend of Zelda: Ocarina of Time,Carreras,49.99,8.5,3.1,7.07
Super Smash Bros. Melee,Carreras,59.99,1.7,2.2,17.67
Gran Turismo 6,Simulación,49.99,4.22,4.51,22
Mario Kart 8,Plataformas,49.99,8.5,6.95,9.31
Final Fantasy VIII,Carreras,49.99,2.1,2.3,27.65
Portal 2,Acción,39.99,2.51,1.8,65
Mario Kart 8 Deluxe,RPG,59.99,6.82,2.07,16
Mario Party DS,RPG,19.99,3.8,1.54,16
Mario Kart 8,Shooter,49.99,7.97,1.89,82.74
Mario Party Superstars,Party,59.99,2.2,12.88,14.1
Grand Theft Auto III,Plataformas,49.99,2.2,9.27,13.1
FIFA 21,Party,49.99,8.5,3.1,17.33
Gran Turismo 3,Carreras,59.99,5,1.88,15
Gran Turismo 5,RPG,59.99,6.85,2.2,33
Pokemon Ruby/Sapphire,Lucha,59.99,7.01,2.2,14.69
FIFA 19,Deportes,49.99,6.56,4.52,15
Wii Sports Resort,Lucha,59.99,6.99,5.49,10.65
Call of Duty 4: Modern Warfare,RPG,59.99,12.78,1.8,11.66
Mario Kart 8 Deluxe,Acción,29.99,9.07,11,12.14
Halo: Combat Evolved,Carreras,49.99,6.85,1.53,13.3
Halo: Combat Evolved,Deportes,59.99,41.49,2.4,20.32
Super Mario World,Carreras,59.99,2.91,1.9,30.01
Minecraft,Deportes,34.99,2.88,1.5,17
Nintendogs,RPG,59.99,6.91,0.63,14.82
Gran Turismo 2,Carreras,49.99,3.34,0.4,14.1
Pokemon HeartGold/SoulSilver,RPG,49.99,3.5,3.38,24.24
Gran Turismo,Carreras,29.99,1.7,3.3,9.37
Gran Turismo 3,Plataformas,39.99,2.8,0.4,15
Resident Evil 7,Shooter,59.99,15.75,1.8,24.24
God of War,Plataformas,49.99,6.99,4.32,17.67
Final Fantasy X,Party,49.99,3.99,2.2,12
Gran Turismo 3,Carreras,59.99,2.1,5.26,10
Final Fantasy XII,Plataformas,39.99,4.46,3.48,17.28
Gran Turismo 6,RPG,59.99,9.81,4.51,13.1
Pokemon Ruby/Sapphire,Carreras,39.99,1.5,4.52,8.3
Call of Duty: Modern Warfare 3,Arcade,49.99,2.2,4.88,13
Super Smash Bros. Melee,Aventura,49.99,4.52,3.3,11.91
Pokemon Black/White,Acción,59.99,9.44,1.8,10
God of War,Shooter,39.99,3.01,11.01,7.07
Grand Theft Auto: San Andreas,Simulación,59.99,9.43,7.06,17.28
The Legend of Zelda: Twilight Princess,Horror,59.99,5.17,2,16.15
The Last of Us,Deportes,49.99,6.32,3.48,10
Final Fantasy VII,Simulación,59.99,2.91,8.89,20.32
The Last of Us,Carreras,49.99,6.42,3.1,10
Super Mario 64,Simulación,49.99,7.25,29.02,8.49
NBA 2K18,Lucha,59.99,8.52,1.2,25
Red Dead Redemption 2,RPG,59.99,2.5,2,33
Super Smash Bros. Ultimate,Acción,49.99,4.46,3.8,14
Monster Hunter Rise,Acción,59.99,5.1,3.5,17
God of War Ragnarök,Horror,49.99,9.3,2.65,33
Need for Speed Underground,Shooter,49.99,2.7,1.8,21
Wii Fit,RPG,49.99,1.5,4.51,10
FIFA 19,Shooter,59.99,5.17,1.35,8.85
The Sims,Shooter,59.99,4.46,4.28,23.42
Red Dead Redemption,Carreras,39.99,2.5,1.54,28.31
Monster Hunter Rise,Deportes,49.99,6.82,3.2,10.85
The Last of Us,Deportes,59.99,2.8,1.14,11
Call of Duty: Black Ops II,Plataformas,59.99,4.34,11,26.74
Super Smash Bros. Brawl,Carreras,59.99,3.5,4.05,13.3
Call of Duty: Modern Warfare 3,Deportes,49.99,6.9,1.63,8.5
Pokemon Ruby/Sapphire,Lucha,59.99,5,2.5,13
Red Dead Redemption 2,RPG,49.99,2.8,3.91,15
Mario Party 8,Acción,34.99,8.52,1.14,10.6
Super Mario Galaxy 2,Shooter,59.99,5.57,3.3,17
Halo 2,Shooter,49.99,9.77,6.05,10
Pokemon Red/Blue,Aventura,89.99,3.75,1.79,10.85
Pokemon Gold/Silver,Acción,59.99,8.27,3.1,17
New Super Mario Bros.,Plataformas,59.99,2.28,3.48,8.85
New Super Mario Bros. Wii,Acción,49.99,6.85,3.2,6
The Sims 2,Simulación,89.99,2.5,2,8.5
Mario Party Superstars,Aventura,49.99,3.5,7.06,26
Animal Crossing: Wild World,Plataformas,59.99,41.49,5.42,5.22
New Super Mario Bros.,Deportes,59.99,3.5,2.4,23.42
New Super Mario Bros. Wii,RPG,59.99,9.81,29.02,14.89
Call of Duty: Modern Warfare 2,Deportes,59.99,4,9.27,16.22
Gran Turismo,Acción,49.99,5.57,1.5,37.38
Pokemon Sun/Moon,Deportes,89.99,2.28,2.71,28.62
Halo 4,Shooter,59.99,2.8,3.75,11.66
Super Mario Bros. 3,Shooter,49.99,3.5,3.63,14
Monster Hunter Rise,Party,34.99,9.44,3.38,15
Pokemon Ruby/Sapphire,Deportes,59.99,1.8,3.1,33
Wii Play,Plataformas,49.99,5.17,7.57,28.31
Street Fighter II,Carreras,59.99,8.41,1.5,10
Need for Speed Carbon,Plataformas,59.99,6.16,2,30.01
Super Mario Bros.,Acción,49.99,4,1.53,12
The Legend of Zelda: Twilight Princess,Deportes,49.99,1.7,3.48,46.45
Animal Crossing: Wild World,Acción,49.99,3.81,4,25
Resident Evil 7,Carreras,49.99,5,2.1,13.53
The Sims,Shooter,59.99,6.42,11.01,18.98
Mario Kart 8 Deluxe,Simulación,49.99,1.8,1.2,13.1
Super Mario Galaxy,Deportes,59.99,2.88,9.2,13.3
Resident Evil 7,Plataformas,69.99,9.3,12.88,13.1
Mario Party DS,RPG,69.99,2.9,5.44,11
The Elder Scrolls V: Skyrim,Party,49.99,5.38,2,9.31
Gran Turismo 5,Deportes,49.99,2.9,0.63,31.38
Final Fantasy XIII,Deportes,59.99,2,3.3,13.1
Pokemon Gold/Silver,RPG,59.99,2.7,4.32,8.5
Red Dead Redemption,Deportes,49.99,6.85,5.42,11.95
Super Mario 64,Carreras,59.99,4.56,3.8,12.72
Red Dead Redemption,Plataformas,39.99,2.2,1.88,6
NBA 2K16,Shooter,24.99,8.27,5.49,8.05
New Super Mario Bros. Wii,Puzzle,59.99,15.75,8.03,15
Cyberpunk 2077,Carreras,49.99,5.17,0.4,65
The Legend of Zelda: Breath of the Wild,Acción,49.99,2.28,8.59,23.42
Tekken 7,Acción,49.99,4.5,3.68,14.82
The Legend of Zelda: Ocarina of Time,RPG,59.99,26.93,1.89,17
Pokemon Ruby/Sapphire,Acción,59.99,3.99,1.53,22
Tekken 7,Party,49.99,9.54,1.15,10
Resident Evil 5,RPG,59.99,5.17,5.26,23.1
Super Mario World,Plataformas,49.99,3.96,6.95,7.07
Resident Evil 7,Simulación,59.99,2.28,3.4,23.42
Street Fighter IV,Simulación,24.99,7.25,2.65,24.24
Super Mario Galaxy 2,Lucha,49.99,9.44,2,8.15
FIFA 19,Plataformas,39.99,2.8,4.52,17
Final Fantasy X,Shooter,39.99,4,8.59,12.72
Pokemon Sun/Moon,Party,49.99,6.9,1.2,16.22
Super Mario Bros.,Party,49.99,2.51,1.89,13.1
Final Fantasy XV,Simulación,59.99,6.56,11,8.3
Grand Theft Auto: Vice City,Deportes,49.99,2.51,2,10.6
Street Fighter IV,Horror,59.99,4,4.51,16.5
The Last of Us,RPG,49.99,8.94,2.3,13.4
Halo 3,Acción,49.99,2.88,1.15,10
Mario Kart 7,Plataformas,59.99,7.01,2.85,10
Resident Evil Village,Deportes,59.99,3.5,3.1,9.37
Mario Kart 7,RPG,59.99,3.5,3.91,20
Mario Kart 8 Deluxe,Plataformas,49.99,2.9,1.56,20
Mario Party 8,Lucha,49.99,5.38,9.2,7.41
FIFA 19,RPG,29.99,11.28,4.05,10
The Witcher 3,RPG,59.99,5,3.1,8.85
NBA 2K16,Plataformas,49.99,9.81,1.8,14.1
God of War Ragnarök,Lucha,29.99,2.5,9.2,28.62
Grand Theft Auto: Vice City,RPG,39.99,2.9,6.2,20
Mario Party 8,Lucha,39.99,3.8,2,13.2
Super Smash Bros. Ultimate,Simulación,59.99,9.54,3.5,17
Cyberpunk 2077,Acción,49.99,15.85,3.63,15
Final Fantasy XII,Acción,49.99,2.1,29.02,36.44
Super Mario World,Deportes,49.99,4.47,2,12
Red Dead Redemption,Acción,49.99,9,29.02,28.31
The Legend of Zelda: Breath of the Wild,Aventura,49.99,9.54,9.2,9.37
Mario Party Superstars,Shooter,59.99,9.77,3.2,17
Super Mario Odyssey,RPG,59.99,1.88,2.3,10.02
Pokemon X/Y,Lucha,59.99,4.2,2.2,11
Duck Hunt,Deportes,59.99,6.73,1.15,12.72
Mario Party 8,Acción,59.99,3.75,7.06,10
Street Fighter IV,RPG,49.99,14.03,0.63,10
Pokemon Red/Blue,Shooter,49.99,29.08,4.52,8.5
The Legend of Zelda: Twilight Princess,Shooter,49.99,11.28,12.88,10
Halo: Combat Evolved,Simulación,59.99,2.1,2.4,14.69
Halo 3,Arcade,59.99,6.85,9.14,25
FIFA 18,Plataformas,49.99,6.9,3.2,82.74
Mario Party DS,Aventura,59.99,15.85,2.9,8.49
Pokemon Diamond/Pearl,Lucha,49.99,15.85,1.2,11.95
Grand Theft Auto V,Deportes,49.99,2.8,4.6,29.02
Call of Duty: Modern Warfare 3,Aventura,49.99,9.81,1.35,20
Need for Speed Carbon,Party,59.99,4.46,3.2,11.66
FIFA 21,Lucha,89.99,8.5,1.5,11.95
Pokemon Red/Blue,RPG,39.99,2.97,1.89,23.1
Final Fantasy VIII,Shooter,39.99,5,3.63,10.65
The Elder Scrolls V: Skyrim,Plataformas,34.99,5.38,2.08,14.76
Grand Theft Auto: San Andreas,Party,49.99,2.8,2.4,8.15
Call of Duty 4: Modern Warfare,Deportes,26.95,5.38,1.54,16.45
Grand Theft Auto: San Andreas,RPG,59.99,3.56,12.88,9.37
Halo 2,RPG,49.99,14.59,3.02,13.2
Cyberpunk 2077,Carreras,49.99,5,2.4,13.3
Gran Turismo 3,RPG,59.99,6.9,3.8,20.32
Monster Hunter World,Horror,59.99,3.01,5.44,8.5
Halo 2,Shooter,49.99,4.2,6.95,18.98
Super Mario Bros.,RPG,39.99,8.94,3.68,37.38
Duck Hunt,RPG,49.99,29.08,1.15,31.38
Call of Duty: Black Ops II,RPG,89.99,4.5,3.5,16.15
Call of Duty: Modern Warfare 3,Carreras,59.99,9.54,9.14,15
Mario Party Superstars,Plataformas,59.99,3.54,3.3,16.15
Mario Party Superstars,Shooter,59.99,2.7,1.35,10.6
The Sims,Carreras,59.99,2.51,11,55.46
Final Fantasy VIII,Deportes,39.99,4.5,2.4,33
God of War Ragnarök,Acción,59.99,3.75,6.18,33
Final Fantasy X,RPG,49.99,4.46,1.12,37.38
Mario Kart 8,Acción,49.99,4.2,4,10
Final Fantasy XV,Plataformas,59.99,8.41,2,15
Super Smash Bros. Brawl,Simulación,39.99,6.9,1.5,17
Tekken 3,RPG,49.99,1.88,4.32,13.53
Gran Turismo 6,RPG,59.99,12.78,2,8.3
New Super Mario Bros.,Party,26.95,2.8,6.45,11.66
Monster Hunter World,Carreras,49.99,9.43,9.2,14.82
Super Mario 64,RPG,59.99,3.54,2.85,8.85
Street Fighter II,RPG,49.99,2.5,3.26,23.42
The Last of Us Part II,Aventura,39.99,2.5,2.5,23
Need for Speed Underground,Shooter,59.99,4.5,4.32,8.5
Pokemon Sun/Moon,Carreras,59.99,6.82,1.91,13.53
FIFA 20,Lucha,49.99,3.8,1.89,10
Mario Party Superstars,Lucha,59.99,6.42,4.05,10
Pokemon Sun/Moon,Shooter,34.99,2.1,1.8,11.95
Halo 4,RPG,39.99,6.43,4.52,30.01
The Last of Us Part II,Aventura,49.99,1.2,1.5,15
Tekken 3,Acción,49.99,4.34,4.29,7
Resident Evil 5,Lucha,59.99,4,2.3,4.5
The Sims,RPG,59.99,5,2.85,15
Super Mario 64,Plataformas,49.99,1.7,8.89,23
Red Dead Redemption,RPG,59.99,11.27,3.75,13.2
The Legend of Zelda: Twilight Princess,Plataformas,59.99,9.81,5.1,30.01
Need for Speed Carbon,Deportes,49.99,4.34,3.2,12.14
Pokemon Diamond/Pearl,Horror,59.99,4.22,4.51,14.76
Gran Turismo 3,Plataformas,59.99,2.2,4.88,13.1
Wii Fit,RPG,34.99,4.34,3.68,8.85
The Sims,RPG,59.99,29.08,8.59,46.45
Super Mario Galaxy 2,Plataformas,59.99,5.17,3.5,17
Pokemon Black/White,Carreras,49.99,2.88,1.8,13.2
Gran Turismo 3,Carreras,59.99,4.5,1.4,22.72
Halo 2,Carreras,59.99,2.91,2.1,17
Mario Party Superstars,Plataformas,49.99,9.3,11,13
The Last of Us Part II,Horror,49.99,1.87,4.6,20
Red Dead Redemption 2,Carreras,59.99,2.28,1.14,23
Mario Kart DS,Acción,49.99,1.2,6.95,12.14
Mario Kart Wii,RPG,59.99,4,3.68,16.15
Super Mario Odyssey,Carreras,26.95,5.6,29.02,12.13
Cyberpunk 2077,RPG,59.99,5,6.18,8.5
FIFA 18,Carreras,49.99,2.2,8.89,13.4
Final Fantasy VII,Acción,59.99,11.27,3.3,12.72
Final Fantasy VIII,RPG,39.99,9.81,1.5,8.05
Super Mario Odyssey,Carreras,49.99,4.12,3.1,7
Super Mario Bros. 3,RPG,49.99,6.43,3.8,8.05
Wii Sports,Horror,24.99,3.01,4.32,8.49
Pokemon Sun/Moon,Carreras,59.99,2.97,8.89,10.65
Pokemon Ruby/Sapphire,Shooter,49.99,3.1,1.88,17
Grand Theft Auto: San Andreas,Aventura,49.99,9.3,2,12.78
Call of Duty: Black Ops,Shooter,59.99,9.54,7.57,5.22
Mario Kart Wii,Deportes,49.99,11.27,7.06,31.38
Gran Turismo 5,Simulación,59.99,4.12,2.1,17.33
FIFA 19,Simulación,49.99,5,6.05,7.07
Resident Evil 6,RPG,59.99,3.96,3.26,7.41
The Legend of Zelda: Breath of the Wild,RPG,34.99,5,1.8,8.85
The Legend of Zelda: Ocarina of Time,Deportes,59.99,4.52,2.1,23
Pokemon Diamond/Pearl,RPG,49.99,7.25,2.71,8.85
Super Mario World,RPG,49.99,26.93,3.91,8.5
Gran Turismo 4,RPG,49.99,9.54,3.58,14.76
Gran Turismo,RPG,49.99,9.09,4.52,8.5
Wii Sports,Plataformas,59.99,2.55,6.05,16.15
Mario Kart 8 Deluxe,Carreras,69.99,3.99,0.4,12.78
Call of Duty: Ghosts,RPG,49.99,2.1,3.2,14.89
Super Mario Bros. 3,Lucha,49.99,2.88,1.8,11
Resident Evil 7,Acción,49.99,8.41,4.29,16.5
The Last of Us,Carreras,49.99,2.97,5.42,14.89
Final Fantasy VIII,Lucha,49.99,2.1,9.27,29.02
Resident Evil Village,Deportes,34.99,3.5,3.02,28.62
The Witcher 3,Simulación,39.99,29.08,8.03,8.3
Super Smash Bros. Ultimate,Lucha,49.99,6.42,5.42,10
Final Fantasy VII,Shooter,59.99,2.1,3.1,12.78
The Sims 3,Deportes,49.99,8.5,3.48,10.02
Halo: Combat Evolved,RPG,59.99,2.5,6.05,7.41
The Witcher 3,Plataformas,59.99,5.17,4.5,10.65
Tekken 3,Deportes,59.99,29.08,2.08,8.85
Final Fantasy XII,Simulación,59.99,4.5,1.8,16.22
Need for Speed Carbon,Shooter,49.99,3.34,1.8,46.45
Red Dead Redemption 2,Lucha,49.99,2.2,1.91,55.46
Monster Hunter World,Deportes,59.99,2.1,3.1,16.45
Call of Duty: Modern Warfare 2,Shooter,49.99,9.43,2.4,10
NBA 2K18,Shooter,59.99,2.7,5.1,8.5
Final Fantasy VII,Shooter,59.99,5.1,5.49,10.65
Super Smash Bros. Melee,RPG,59.99,2.1,4.28,20
Halo 3,Deportes,29.99,9.43,2.5,12.14
The Sims 2,Deportes,59.99,3.8,3.1,7
New Super Mario Bros. Wii,Lucha,59.99,4.67,2,7
Pokemon Gold/Silver,Acción,69.99,14.59,3.3,8.85
Red Dead Redemption,Deportes,59.99,14.03,3.2,17.33
Monster Hunter Rise,Acción,49.99,2.8,4.05,6.3
Super Smash Bros. Ultimate,Acción,49.99,14.03,2.8,82.74
The Legend of Zelda: Breath of the Wild,Horror,49.99,1.87,3.9,20
Final Fantasy X,Lucha,39.99,1.8,2.8,4.5
God of War Ragnarök,Deportes,19.99,1.87,2,55.46
NBA 2K18,Carreras,49.99,4.22,2.2,13.4
Final Fantasy XII,Carreras,49.99,7.25,1.8,17
Mario Kart 8 Deluxe,Lucha,49.99,2.28,1.53,13.1
NBA 2K18,Shooter,49.99,3.96,6.45,16.22
Mario Kart DS,RPG,39.99,5.17,0.4,17
The Witcher 3,RPG,49.99,4.46,2.8,23.42
Mario Party DS,Arcade,26.95,1.7,4,55.46
Call of Duty: Modern Warfare 2,RPG,49.99,1.7,1.54,55.46
Animal Crossing: Wild World,Horror,59.99,2.8,3.26,8.85
Monster Hunter Rise,Puzzle,59.99,14.59,7.57,22.72
Portal 2,Acción,49.99,2.8,2.4,12
Street Fighter II,Plataformas,39.99,2.8,4.6,55.46
Final Fantasy VIII,Aventura,34.99,7.01,1.8,6
Pokemon Black/White,Horror,59.99,2.8,2.5,15
Wii Sports,Acción,59.99,4,8.59,13.1
Wii Fit,Carreras,39.99,6.43,9.2,20
Call of Duty 4: Modern Warfare,Acción,59.99,2.8,2.9,17
Pokemon Red/Blue,Carreras,49.99,5.17,3.9,33
Red Dead Redemption,Horror,59.99,4.5,1.5,8.5
Tekken 7,Simulación,59.99,4.47,8.03,10.02
NBA 2K18,Deportes,39.99,2.1,11,16
Halo 4,Carreras,59.99,2.2,0.4,20
The Sims 3,Plataformas,59.99,9.09,1.8,40.24
The Witcher 3,Aventura,49.99,1.7,1.5,37.38
The Sims,Plataformas,59.99,15.85,1.15,8.85
Halo 3,Deportes,49.99,6.91,11,14.76
Pokemon X/Y,Party,39.99,2.2,6.95,23
Portal 2,Simulación,59.99,9.54,2.2,23.1
Call of Duty: Modern Warfare 3,RPG,49.99,6.16,4.2,11
Mario Kart 8 Deluxe,RPG,49.99,6.99,2,13.1
New Super Mario Bros. Wii,Simulación,59.99,2.8,7.57,23.1
Super Smash Bros. Brawl,Acción,39.99,7.97,9.2,10.65
Final Fantasy X,Horror,49.99,3.54,9.14,20.61
Duck Hunt,Shooter,49.99,1.5,1.8,26.74
Minecraft,Aventura,59.99,4,2.1,14.69
