Precio_Venta_MXN,Kilometraje_km,Anio_Modelo,Dias_En_Inventario
929218,74579,2026,44
482685,52988,2023,137
866876,177196,2025,165
665977,76633,2016,74
792005,161467,2026,36
567031,45242,2026,101
624216,42293,2023,156
559239,10448,2019,170
330337,119042,2022,171
736288,69492,2016,170
396195,156263,2020,104
198723,87812,2017,66
677014,174434,2026,55
316375,37467,2026,176
904153,157009,2024,91
914525,140904,2019,22
884446,139911,2026,101
465022,152837,2022,155
191902,138179,2024,121
894805,114589,2015,93
509702,27968,2019,108
924324,10692,2017,141
921987,166148,2018,173
836817,112914,2016,10
406726,144394,2023,9
476525,89266,2017,155
835375,25529,2016,34
424030,26908,2024,129
310509,124974,2025,160
608737,80304,2023,89
900839,40092,2021,93
715943,91029,2020,71
618947,16237,2015,67
254826,106845,2019,148
653556,52074,2026,117
942341,144573,2025,94
287865,59313,2025,163
579114,84664,2017,99
855577,7034,2015,113
750392,17678,2018,103
716702,73686,2016,91
720913,88989,2016,90
456808,110004,2017,17
406066,56041,2022,18
803208,126622,2022,173
803787,155521,2026,116
847646,141474,2021,93
883195,11933,2020,91
573734,89089,2023,82
566168,23363,2018,68
794687,47358,2026,114
680472,177666,2015,1
720514,29937,2022,58
792760,92305,2021,154
865304,113177,2021,109
440256,127931,2017,148
469199,102939,2018,116
252366,6710,2024,87
625276,62131,2023,10
207676,95600,2020,59
538510,20377,2019,41
597836,66360,2017,105
400637,10811,2023,133
634942,18751,2019,122
203485,74462,2019,145
208758,28225,2018,22
813402,104320,2018,98
457347,125656,2026,169
277837,145103,2015,68
582127,40026,2021,139
772895,34309,2023,56
346182,23299,2017,179
659626,116375,2026,149
245718,128633,2016,99
219795,10528,2017,76
589143,168837,2015,26
596289,14095,2020,115
670821,99727,2025,147
739090,129086,2025,109
931406,157420,2021,47
577551,129965,2025,71
428676,145302,2025,154
792293,64404,2016,40
388541,147594,2022,133
518008,19020,2020,149
240411,161593,2018,132
199520,100829,2019,23
921239,148027,2022,106
823705,84156,2017,84
715900,117626,2017,143
494894,97120,2025,116
313437,133028,2018,109
300457,19285,2015,136
372687,15562,2023,41
602905,48243,2022,112
730239,32920,2022,147
688352,157562,2024,112
395549,43362,2020,103
915246,175776,2021,46
748181,63957,2020,156
606853,36871,2023,68
651025,143197,2017,122
503092,120274,2017,15
370753,92184,2017,165
454099,102189,2024,129
763542,130860,2017,111
191083,44980,2023,24
269376,179358,2026,27
215422,175589,2018,40
211361,118807,2021,164
838705,39920,2023,24
721817,124040,2025,24
545114,17635,2026,4
255332,10364,2021,67
558544,50095,2023,34
544573,85959,2026,177
313365,156948,2017,116
514066,132255,2018,23
486849,134974,2022,109
654205,79461,2020,69
669022,65539,2019,95
214884,69932,2018,62
468452,177839,2022,169
661912,12019,2015,57
567415,156731,2023,54
839497,106268,2015,70
687194,81758,2022,101
305460,131920,2018,57
234338,90167,2023,138
674663,157849,2025,168
200414,162623,2019,135
631047,78801,2017,103
903977,53445,2023,166
623115,108661,2025,85
478891,164664,2023,61
675332,41866,2018,3
532855,114019,2025,128
600125,115523,2018,179
904928,133295,2026,86
477299,28024,2022,47
920117,130269,2016,76
877120,164081,2023,38
330759,36445,2020,164
233408,46570,2023,169
257599,174994,2022,141
194031,36671,2021,87
252721,154517,2015,58
705915,91149,2026,50
234815,48265,2017,30
425611,157381,2025,101
830554,82928,2016,25
197919,95093,2019,112
807141,67866,2019,155
397028,108766,2019,179
270987,33617,2018,126
716488,73439,2019,123
664286,174647,2017,47
855653,50173,2026,118
746005,119929,2015,39
798680,61908,2019,16
397167,140358,2023,22
316628,27903,2023,54
757973,174719,2018,149
801263,84413,2017,16
942689,46309,2015,59
497716,17862,2016,31
466454,34708,2022,170
777838,95960,2015,32
442419,63976,2022,162
896683,150055,2021,9
840978,80405,2022,139
510325,48525,2026,10
758171,113000,2020,17
760998,128686,2026,68
259405,34232,2023,48
874966,34333,2017,180
569044,11417,2024,111
816372,133870,2018,153
426438,121166,2020,123
869553,88060,2022,149
479685,152730,2019,101
188345,145992,2017,102
877144,107437,2020,65
250291,156947,2018,51
425872,41022,2023,36
911548,24586,2017,81
911968,52206,2018,127
621547,14990,2021,88
666515,97955,2021,104
525303,168906,2026,15
405772,11885,2026,96
433072,26369,2018,167
697839,84135,2020,123
759328,168428,2026,1
789516,60327,2017,151
788006,93766,2020,122
250229,12275,2026,167
560704,30960,2016,126
224320,177660,2022,57
603137,173896,2016,81
519978,5864,2025,162
863532,171567,2021,169
450205,116846,2023,73
270142,156886,2015,141
290104,84579,2022,70
766363,95229,2021,6
656028,90548,2020,84
257864,121701,2020,52
244762,29439,2020,3
719746,10245,2023,81
236028,58888,2016,63
812832,128319,2015,49
723807,40324,2026,76
242639,122851,2020,112
245325,174735,2024,175
939712,21433,2025,109
468189,122705,2022,65
465394,82656,2017,81
805856,156925,2026,15
909381,36001,2024,100
939221,126210,2015,32
760101,151670,2023,96
469720,170307,2015,128
244296,124568,2017,146
778403,92006,2022,113
609971,113123,2017,83
506651,157058,2018,43
877893,104857,2022,116
265622,10318,2015,163
559321,167916,2020,78
188742,125667,2015,58
540869,123390,2015,33
223354,42743,2022,14
271490,120305,2025,162
270495,73926,2018,132
679892,118966,2026,59
754455,23654,2015,157
629194,120123,2024,83
920873,179897,2021,134
468650,13437,2019,121
399998,176005,2019,177
848821,76209,2015,168
352169,157382,2024,83
921681,141917,2025,27
189359,104228,2020,80
926807,134229,2023,134
213233,158740,2023,13
866180,75725,2022,64
586330,62231,2019,147
944583,121829,2015,80
236823,146373,2023,123
606468,138400,2015,43
926363,144617,2022,89
582785,81227,2019,148
664637,148121,2017,95
715726,26037,2025,172
529997,100286,2021,151
663220,6008,2021,2
629922,61803,2023,120
873892,69131,2021,22
214994,74330,2025,115
396342,126707,2017,57
911817,72998,2025,72
865503,83521,2015,7
530856,46570,2022,119
657502,70319,2026,114
393584,44772,2017,16
324853,17809,2026,83
537048,110604,2022,179
452081,121937,2022,72
629415,113411,2019,124
239856,86111,2026,113
930284,71463,2015,12
939382,156083,2024,126
717585,95839,2021,53
592794,88857,2026,75
418336,9487,2024,133
806622,64718,2019,27
707243,71534,2022,140
305215,74794,2023,145
881414,106530,2025,134
813354,98380,2021,97
911346,111383,2021,5
738804,138855,2015,57
652330,147273,2018,156
502047,130672,2016,78
898201,172217,2016,69
846869,8191,2016,118
214818,39261,2018,120
200303,6324,2015,59
469877,118308,2018,33
804126,162155,2016,62
940203,47609,2019,50
295821,167231,2017,112
637481,15547,2026,19
473286,168526,2022,123
926834,66534,2018,47
828432,22749,2015,167
825513,90028,2015,33
540894,49936,2026,141
499411,54853,2024,84
390523,58776,2017,135
223409,145530,2023,79
845836,99353,2021,14
805934,59479,2016,147
949783,111808,2023,128
947410,130326,2024,54
607682,52709,2016,148
772120,77371,2017,29
907470,26330,2025,24
834228,36701,2024,82
370458,124196,2016,63
526919,36752,2017,105
279453,96904,2020,57
914619,129083,2023,136
646754,23703,2023,62
356055,104280,2021,157
697210,49898,2026,17
655959,173512,2017,66
455785,89620,2018,6
267439,146049,2020,58
697111,101290,2025,69
580637,12597,2019,156
774685,115801,2016,62
580526,171496,2020,169
836180,110282,2017,82
604968,148358,2022,169
611922,159736,2016,177
855023,44914,2015,177
490682,42108,2023,71
283192,111922,2026,131
202163,76930,2017,10
761456,151976,2025,98
657638,162504,2015,89
722141,66849,2021,35
343982,46452,2024,2
285006,141592,2019,124
191199,53091,2019,24
449952,148958,2015,74
634237,79154,2023,166
482028,121821,2021,22
516856,21719,2022,154
876202,114175,2023,171
448157,84059,2020,39
575772,107656,2026,157
783413,34402,2019,20
485338,133953,2020,41
659007,155989,2025,148
844020,42929,2016,108
911131,21750,2018,147
293247,9137,2017,84
893472,117345,2021,111
558930,111241,2023,66
378848,100672,2019,158
533535,45591,2020,53
934625,73409,2024,34
559316,109033,2026,150
433139,91934,2026,67
667719,177862,2016,134
364912,28877,2017,27
238415,126650,2017,10
279237,75756,2026,73
278595,79935,2026,96
296965,130580,2023,48
286897,126176,2021,70
673474,178470,2022,100
320048,27469,2025,59
446164,23219,2024,2
870527,131759,2025,157
544950,106218,2023,65
694019,52978,2020,83
312686,18898,2018,154
328063,19990,2026,10
211469,161483,2015,53
310080,38577,2022,79
394515,61590,2021,59
316298,44665,2016,150
248301,67124,2022,179
272890,17149,2026,48
534800,95835,2019,149
338877,16832,2021,123
460488,145062,2018,22
567631,45900,2019,100
711604,99502,2022,98
210270,159014,2015,158
795546,118904,2015,25
663483,98268,2018,28
242954,61758,2017,113
852656,63275,2024,45
889072,122160,2026,68
227030,178974,2016,7
393196,120822,2026,49
800775,102612,2017,137
756160,132864,2025,164
322081,86411,2025,83
341199,15525,2025,129
465264,103402,2015,138
553083,172584,2015,164
656056,35678,2020,73
464064,125751,2019,46
536152,40163,2022,106
755553,98770,2016,160
208246,21918,2018,32
374376,83815,2022,6
729279,137329,2026,176
869309,65825,2020,166
573992,121360,2015,145
589727,144204,2018,74
262522,167256,2015,114
524508,46062,2016,27
590115,74880,2019,54
366702,31673,2022,178
387317,178685,2022,163
470509,167225,2025,85
195455,99492,2017,127
428001,152356,2025,153
342815,96168,2018,156
432173,114127,2024,111
272217,20597,2025,15
865706,137172,2020,132
637066,27350,2025,93
702909,149562,2025,123
787662,141855,2024,73
563800,129030,2017,155
246929,11328,2016,154
593572,58047,2020,147
631868,51045,2025,92
753988,68024,2019,17
512378,20337,2024,43
278237,168968,2019,121
398507,101915,2024,41
459573,58467,2019,170
677356,74472,2024,178
619499,83260,2026,168
454194,110104,2019,39
939617,95244,2017,113
646447,165894,2021,151
362665,91969,2020,111
258373,178628,2018,180
297702,153999,2016,47
369387,41489,2026,63
303725,167854,2023,110
323657,25364,2015,69
399523,148054,2025,43
313498,71609,2018,176
870509,158646,2015,34
241780,156910,2020,40
583874,146037,2018,61
496006,143255,2019,178
936432,58319,2019,62
266270,19161,2023,58
486349,75522,2015,161
926492,35367,2016,75
846440,126616,2020,16
809145,65567,2019,82
378585,175732,2025,94
311583,117170,2021,48
694855,148934,2017,138
895620,28192,2017,82
608707,155853,2024,38
620142,166483,2016,127
395584,90236,2017,19
772510,111094,2024,164
324024,138842,2015,63
429233,35597,2019,77
507586,92949,2026,174
570860,74766,2019,131
366655,30615,2026,102
268424,69319,2025,65
650177,16930,2021,120
402246,9517,2018,91
627553,28654,2017,8
298859,173545,2015,179
550478,101168,2026,73
590094,174019,2022,134
219904,80687,2017,107
439185,59568,2016,89
283499,93575,2025,39
228799,81915,2018,113
942269,23491,2017,28
428212,117145,2015,97
803603,42807,2017,37
376073,113428,2026,137
704757,118785,2016,82
765375,31604,2022,56
638642,15736,2020,85
543114,141633,2023,2
497118,85465,2022,58
448629,15179,2024,107
895737,179102,2017,123
819577,15112,2019,168
923071,126631,2021,164
275709,177144,2019,114
742768,46857,2022,107
902522,29894,2026,37
319549,26242,2019,79
231202,58073,2015,92
750663,22683,2019,18
622344,126128,2018,98
828208,15901,2020,63
287625,94149,2017,150
792356,179422,2025,139
335253,147445,2019,4
306015,112663,2016,135
306485,58594,2025,61
807223,114182,2020,107
692202,97232,2026,54
582760,79565,2020,88
456299,27874,2019,68
855444,160156,2020,129
482183,83712,2025,55
808782,39059,2021,3
518134,69358,2026,166
470247,77473,2019,121
536263,149819,2015,129
412061,133383,2022,102
755659,139628,2018,38
567095,6930,2023,85
358804,77827,2024,157
872672,89235,2026,133
475596,8359,2020,92
598536,50467,2015,21
877984,138051,2017,109
660663,28994,2017,47
270011,98679,2024,84
903671,42660,2026,83
663335,7121,2026,35
437877,47210,2018,69
287239,175778,2020,129
791399,145269,2021,140
657456,172926,2024,27
590765,90374,2018,56
868297,24204,2020,23
787220,100893,2025,153
296790,84516,2015,21
420026,152762,2022,61
371337,22164,2021,63
752839,90442,2025,122
205820,31259,2025,52
618815,61818,2023,88
767093,134037,2017,153
855110,88303,2016,55
443403,70780,2015,46
812368,74033,2017,32
265186,85403,2019,55
831768,142378,2025,96
278166,161115,2016,133
485911,172184,2026,36
793917,142708,2017,110
295436,60196,2018,177
356524,125424,2021,106
736134,81581,2017,58
734428,49567,2023,39
673684,152153,2022,80
714340,11725,2018,97
597898,162808,2015,113
373885,85759,2015,61
446186,116510,2015,137
319830,120387,2015,6
879507,161646,2022,109
629212,116417,2017,35
488656,112438,2020,39
535744,16664,2017,150
909408,95721,2025,169
298081,31280,2019,118
631397,134051,2021,5
569534,94639,2016,170
650820,124040,2020,87
193945,12293,2020,76
851535,19839,2025,158
897731,130357,2017,57
615153,17615,2020,127
716421,17470,2024,29
890325,7119,2024,165
724574,172388,2019,87
297455,134064,2026,141
623742,66819,2016,160
647171,56894,2023,46
506581,66198,2022,116
747062,140564,2017,112
899463,120740,2022,151
892688,37409,2023,45
527146,35469,2017,145
267193,22219,2017,104
938328,120553,2016,85
825952,138765,2022,134
275990,51383,2024,108
889048,8665,2015,18
849820,19380,2022,94
579505,174376,2021,150
635282,56703,2021,33
487232,139614,2017,158
222166,114316,2015,126
438102,71839,2018,160
798197,40995,2023,170
183567,26243,2019,122
436794,112627,2015,138
486590,140561,2019,115
593795,117683,2022,164
888289,97803,2022,162
446686,12341,2019,28
447154,174486,2026,11
747876,144775,2023,167
528208,56244,2015,47
352946,176495,2018,127
528378,110329,2017,147
288460,106924,2016,118
315818,135913,2022,143
563743,147060,2021,126
502573,119884,2023,156
884431,27417,2016,152
459043,64197,2018,72
627053,167415,2020,107
666844,44308,2025,137
190083,70129,2017,175
690924,80613,2022,33
317088,81896,2017,19
920024,112264,2026,74
294470,170038,2016,168
499261,47121,2017,175
245719,26263,2025,157
947593,39557,2020,178
566690,160212,2016,98
638446,118017,2022,141
231649,55034,2015,129
757470,147791,2021,162
341627,155740,2016,93
871502,153140,2024,176
337958,165812,2026,48
326830,49142,2020,177
208143,137132,2026,64
543492,85594,2016,61
614928,152350,2016,157
230596,132486,2024,39
777156,140878,2022,128
529032,119828,2026,88
583781,36050,2016,26
519387,100380,2021,17
488588,177317,2017,71
610923,169043,2022,13
299535,12555,2021,69
320085,33843,2022,26
843575,28053,2021,49
908509,132046,2025,7
467448,148112,2020,58
388473,42364,2021,49
675880,93524,2019,103
494725,152123,2021,53
199547,133240,2015,62
300237,99892,2015,17
731299,108311,2023,171
687371,93963,2019,25
200864,57071,2019,131
350919,103879,2017,29
357928,125555,2019,117
697357,157832,2017,160
195177,116351,2023,26
260164,138196,2023,124
795935,33013,2020,144
317479,85773,2015,25
682615,6633,2021,54
363401,48169,2021,156
256570,132131,2024,73
367243,178567,2024,120
736146,22356,2018,56
838886,75262,2022,65
819269,145012,2020,93
485831,40706,2018,86
694426,102140,2018,80
337838,133287,2016,169
405724,112797,2016,108
870179,37904,2026,179
190011,67192,2018,118
245842,142164,2019,157
340072,101990,2022,83
200430,5915,2020,147
319705,138173,2018,169
628942,11179,2025,173
504497,135503,2021,15
867357,40434,2022,131
809432,172663,2016,139
443199,69390,2026,174
379756,62213,2021,30
472363,31055,2016,57
634527,58481,2016,146
386409,158414,2022,179
660595,179359,2016,128
495247,69454,2025,48
605076,83507,2023,136
515817,131362,2026,22
406739,160084,2015,6
910309,108783,2023,104
767976,73517,2015,36
287887,77209,2024,79
848720,126733,2024,116
555322,5563,2016,57
868805,113428,2020,49
795889,67211,2020,173
507414,143985,2015,82
197301,21273,2021,66
386882,107935,2022,77
597058,89170,2016,45
667778,117407,2022,79
378574,16349,2023,20
287304,106497,2020,123
822896,103260,2019,67
937990,103116,2026,83
584781,110610,2023,3
312193,123382,2026,64
389677,145873,2025,40
194161,52219,2023,59
884010,149384,2015,62
270668,92195,2025,132
623918,18485,2017,60
391023,15246,2023,116
606717,63492,2025,75
681594,142357,2016,122
818901,128844,2026,107
338944,143008,2018,96
188467,95522,2018,91
285402,82035,2016,158
873014,30804,2017,130
852895,62434,2017,62
640008,80953,2015,49
642398,20505,2020,137
692078,43607,2022,92
315036,109689,2026,159
884097,133741,2017,124
502453,179711,2019,61
475017,168295,2015,48
579567,117449,2024,153
216164,78718,2021,164
308038,116331,2024,136
748286,142489,2015,58
243755,25709,2026,101
644427,76733,2025,112
368919,151965,2023,173
479758,72171,2022,62
402294,105078,2021,39
453868,107860,2024,58
733665,37283,2021,99
408784,68391,2019,44
616132,63539,2019,29
546559,9584,2025,59
691027,9234,2019,71
901359,150547,2015,92
744081,52787,2022,9
345504,95664,2026,127
204011,57277,2025,134
381943,169619,2015,157
638210,50377,2018,145
219598,80190,2023,144
562202,157728,2023,131
639569,152338,2019,21
437368,37568,2018,64
773602,145463,2017,90
262081,85183,2017,36
237856,89520,2026,62
740705,28359,2019,170
561528,19105,2024,76
710070,132389,2015,170
514817,91881,2019,13
369730,81449,2020,11
810709,132664,2021,54
795550,138965,2026,16
714916,32809,2023,8
389552,111789,2017,104
634478,28687,2016,59
457950,136491,2017,57
250518,119967,2026,40
886331,172408,2023,130
285350,17068,2026,94
911683,14985,2021,138
523424,54383,2023,44
