productos,marcas,tallas,generos,cantidad
BOTELLA,A,500,MASCULINO,5
BOTELLA,A,750,MASCULINO,4
BOTELLA,A,1000,MASCULINO,3
BOTELLA,A,1250,MASCULINO,2
BOTELLA,A,1500,MASCULINO,1
BOTELLA,B,500,FEMENINO,8
BOTELLA,B,750,FEMENINO,7
BOTELLA,B,1000,FEMENINO,6
BOTELLA,B,1250,FEMENINO,5
BOTELLA,B,1500,FEMENINO,4
BOTELLA,B,500,MASCULINO,3
BOTELLA,B,750,MASCULINO,2
BOTELLA,B,1000,MASCULINO,1
BOTELLA,B,1250,MASCULINO,8
BOTELLA,B,1500,MASCULINO,7
BOTELLA,C,500,FEMENINO,6
BOTELLA,C,750,FEMENINO,5
BOTELLA,C,1000,FEMENINO,4
BOTELLA,C,1250,FEMENINO,3
BOTELLA,C,1500,FEMENINO,2
BOTELLA,C,500,MASCULINO,1
BOTELLA,C,750,MASCULINO,8
BOTELLA,C,1000,MASCULINO,7
BOTELLA,C,1250,MASCULINO,6
BOTELLA,C,1500,MASCULINO,5
MOCHILA,A,CHICA,FEMENINO,7
MOCHILA,A,MEDIANA,FEMENINO,6
MOCHILA,A,GRANDE,FEMENINO,5
MOCHILA,A,CHICA,MASCULINO,4
MOCHILA,A,MEDIANA,MASCULINO,3
MOCHILA,A,GRANDE,MASCULINO,2
MOCHILA,B,CHICA,FEMENINO,1
MOCHILA,B,MEDIANA,FEMENINO,8
MOCHILA,B,GRANDE,FEMENINO,7
MOCHILA,B,CHICA,MASCULINO,6
MOCHILA,B,MEDIANA,MASCULINO,5
MOCHILA,B,GRANDE,MASCULINO,4
MOCHILA,C,CHICA,FEMENINO,3
MOCHILA,C,MEDIANA,FEMENINO,2
MOCHILA,C,GRANDE,FEMENINO,1
MOCHILA,C,CHICA,MASCULINO,8
MOCHILA,C,MEDIANA,MASCULINO,7
MOCHILA,C,GRANDE,MASCULINO,6
CUADERNO,A,100,FEMENINO,5
CUADERNO,A,150,FEMENINO,4
CUADERNO,A,100,MASCULINO,3
CUADERNO,A,150,MASCULINO,2
CUADERNO,B,100,FEMENINO,1
CUADERNO,B,150,FEMENINO,8
CUADERNO,B,100,MASCULINO,7
CUADERNO,B,150,MASCULINO,6
CUADERNO,C,100,FEMENINO,5
CUADERNO,C,150,FEMENINO,4
CUADERNO,C,100,MASCULINO,3
CUADERNO,C,150,MASCULINO,2
LAPICERA,A,AZUL,FEMENINO,1
LAPICERA,A,NEGRA,FEMENINO,8
LAPICERA,A,ROJA,FEMENINO,7
LAPICERA,A,VERDE,FEMENINO,6
LAPICERA,A,AZUL,MASCULINO,5
LAPICERA,A,NEGRA,MASCULINO,4
LAPICERA,A,ROJA,MASCULINO,3
LAPICERA,A,VERDE,MASCULINO,2
LAPICERA,B,AZUL,FEMENINO,1
LAPICERA,B,NEGRA,FEMENINO,8
LAPICERA,B,ROJA,FEMENINO,7
LAPICERA,B,VERDE,FEMENINO,6
LAPICERA,B,AZUL,MASCULINO,5
LAPICERA,B,NEGRA,MASCULINO,4
LAPICERA,B,ROJA,MASCULINO,3
LAPICERA,B,VERDE,MASCULINO,2
LAPICERA,C,AZUL,FEMENINO,1
LAPICERA,C,NEGRA,FEMENINO,8
LAPICERA,C,ROJA,FEMENINO,7
LAPICERA,C,VERDE,FEMENINO,6
LAPICERA,C,AZUL,MASCULINO,5
LAPICERA,C,NEGRA,MASCULINO,4
LAPICERA,C,ROJA,MASCULINO,3
LAPICERA,C,VERDE,MASCULINO,2
BOTELLA,A,500,FEMENINO,1
BOTELLA,A,750,FEMENINO,8
BOTELLA,A,1000,FEMENINO,7
BOTELLA,A,1250,FEMENINO,6
BOTELLA,A,1500,FEMENINO,5
BOTELLA,A,500,MASCULINO,4
BOTELLA,A,750,MASCULINO,3
BOTELLA,A,1000,MASCULINO,2
BOTELLA,A,1250,MASCULINO,1
BOTELLA,A,1500,MASCULINO,8
BOTELLA,B,500,FEMENINO,7
BOTELLA,B,750,FEMENINO,6
BOTELLA,B,1000,FEMENINO,5
BOTELLA,B,1250,FEMENINO,4
BOTELLA,B,1500,FEMENINO,3
BOTELLA,B,500,MASCULINO,2
BOTELLA,B,750,MASCULINO,1
BOTELLA,B,1000,MASCULINO,8
BOTELLA,B,1250,MASCULINO,7
BOTELLA,B,1500,MASCULINO,6
BOTELLA,C,500,FEMENINO,5
BOTELLA,C,750,FEMENINO,4
BOTELLA,C,1000,FEMENINO,3
BOTELLA,C,1250,FEMENINO,2
BOTELLA,C,1500,FEMENINO,1
BOTELLA,C,500,MASCULINO,8
BOTELLA,C,750,MASCULINO,7
BOTELLA,C,1000,MASCULINO,6
BOTELLA,C,1250,MASCULINO,5
BOTELLA,C,1500,MASCULINO,4
MOCHILA,A,CHICA,FEMENINO,6
MOCHILA,A,MEDIANA,FEMENINO,5
MOCHILA,A,GRANDE,FEMENINO,4
MOCHILA,A,CHICA,MASCULINO,3
MOCHILA,A,MEDIANA,MASCULINO,2
MOCHILA,A,GRANDE,MASCULINO,1
MOCHILA,B,CHICA,FEMENINO,8
MOCHILA,B,MEDIANA,FEMENINO,7
MOCHILA,B,GRANDE,FEMENINO,6
MOCHILA,B,CHICA,MASCULINO,5
MOCHILA,B,MEDIANA,MASCULINO,4
MOCHILA,B,GRANDE,MASCULINO,3
MOCHILA,C,CHICA,FEMENINO,2
MOCHILA,C,MEDIANA,FEMENINO,1
MOCHILA,C,GRANDE,FEMENINO,8
MOCHILA,C,CHICA,MASCULINO,7
MOCHILA,C,MEDIANA,MASCULINO,6
MOCHILA,C,GRANDE,MASCULINO,5
CUADERNO,A,100,FEMENINO,4
CUADERNO,A,150,FEMENINO,3
CUADERNO,A,100,MASCULINO,2
CUADERNO,A,150,MASCULINO,1
CUADERNO,B,100,FEMENINO,8
CUADERNO,B,150,FEMENINO,7
CUADERNO,B,100,MASCULINO,6
CUADERNO,B,150,MASCULINO,5
CUADERNO,C,100,FEMENINO,4
CUADERNO,C,150,FEMENINO,3
CUADERNO,C,100,MASCULINO,2
CUADERNO,C,150,MASCULINO,1
LAPICERA,A,AZUL,FEMENINO,8
LAPICERA,A,NEGRA,FEMENINO,7
LAPICERA,A,ROJA,FEMENINO,6
LAPICERA,A,VERDE,FEMENINO,5
LAPICERA,A,AZUL,MASCULINO,4
LAPICERA,A,NEGRA,MASCULINO,3
LAPICERA,A,ROJA,MASCULINO,2
LAPICERA,A,VERDE,MASCULINO,1
LAPICERA,B,AZUL,FEMENINO,8
LAPICERA,B,NEGRA,FEMENINO,7
LAPICERA,B,ROJA,FEMENINO,6
LAPICERA,B,VERDE,FEMENINO,5
LAPICERA,B,AZUL,MASCULINO,4
LAPICERA,B,NEGRA,MASCULINO,3
LAPICERA,B,ROJA,MASCULINO,2
LAPICERA,B,VERDE,MASCULINO,1
LAPICERA,C,AZUL,FEMENINO,8
LAPICERA,C,NEGRA,FEMENINO,7
LAPICERA,C,ROJA,FEMENINO,6
LAPICERA,C,VERDE,FEMENINO,5
LAPICERA,C,AZUL,MASCULINO,4
LAPICERA,C,NEGRA,MASCULINO,3
LAPICERA,C,ROJA,MASCULINO,2
LAPICERA,C,VERDE,MASCULINO,1
BOTELLA,A,500,FEMENINO,8
BOTELLA,A,750,FEMENINO,7
BOTELLA,A,1000,FEMENINO,6
BOTELLA,A,1250,FEMENINO,5
BOTELLA,A,1500,FEMENINO,4
BOTELLA,A,500,MASCULINO,3
BOTELLA,A,750,MASCULINO,2
BOTELLA,A,1000,MASCULINO,1
BOTELLA,A,1250,MASCULINO,8
BOTELLA,A,1500,MASCULINO,7
BOTELLA,B,500,FEMENINO,6
BOTELLA,B,750,FEMENINO,5
BOTELLA,B,1000,FEMENINO,4
BOTELLA,B,1250,FEMENINO,3
BOTELLA,B,1500,FEMENINO,2
BOTELLA,B,500,MASCULINO,1
BOTELLA,B,750,MASCULINO,8
BOTELLA,B,1000,MASCULINO,7
BOTELLA,B,1250,MASCULINO,6
BOTELLA,B,1500,MASCULINO,5
BOTELLA,C,500,FEMENINO,4
BOTELLA,C,750,FEMENINO,3
BOTELLA,C,1000,FEMENINO,2
BOTELLA,C,1250,FEMENINO,1
BOTELLA,C,1500,FEMENINO,8
BOTELLA,C,500,MASCULINO,7
BOTELLA,C,750,MASCULINO,6
BOTELLA,C,1000,MASCULINO,5
BOTELLA,C,1250,MASCULINO,4
BOTELLA,C,1500,MASCULINO,3
