Precio_Venta_MXN,Kilometraje_km,Anio_Modelo,Dias_En_Inventario,unidades vendidas
877120,164081,2023,38,32
330759,36445,2020,164,3
233408,46570,2023,169,78
257599,174994,2022,141,34
194031,36671,2021,87,67
252721,154517,2015,58,42
705915,91149,2026,50,38
234815,48265,2017,30,89
425611,157381,2025,101,10
830554,82928,2016,25,74
197919,95093,2019,112,75
807141,67866,2019,155,38
397028,108766,2019,179,27
270987,33617,2018,126,1
716488,73439,2019,123,94
664286,174647,2017,47,95
855653,50173,2026,118,25
746005,119929,2015,39,4
798680,61908,2019,16,13
397167,140358,2023,22,7
316628,27903,2023,54,84
757973,174719,2018,149,90
801263,84413,2017,16,16
942689,46309,2015,59,75
497716,17862,2016,31,18
466454,34708,2022,170,37
777838,95960,2015,32,60
442419,63976,2022,162,72
896683,150055,2021,9,88
840978,80405,2022,139,5
510325,48525,2026,10,20
758171,113000,2020,17,29
760998,128686,2026,68,32
259405,34232,2023,48,100
874966,34333,2017,180,78
569044,11417,2024,111,33
816372,133870,2018,153,98
426438,121166,2020,123,50
869553,88060,2022,149,51
479685,152730,2019,101,44
188345,145992,2017,102,15
877144,107437,2020,65,94
250291,156947,2018,51,2
425872,41022,2023,36,18
911548,24586,2017,81,23
911968,52206,2018,127,28
621547,14990,2021,88,14
666515,97955,2021,104,2
525303,168906,2026,15,68
405772,11885,2026,96,97
433072,26369,2018,167,13
697839,84135,2020,123,30
759328,168428,2026,1,51
789516,60327,2017,151,93
788006,93766,2020,122,70
250229,12275,2026,167,77
560704,30960,2016,126,59
224320,177660,2022,57,42
603137,173896,2016,81,20
519978,5864,2025,162,87
863532,171567,2021,169,81
450205,116846,2023,73,3
270142,156886,2015,141,72
290104,84579,2022,70,9
766363,95229,2021,6,74
656028,90548,2020,84,83
257864,121701,2020,52,14
244762,29439,2020,3,44
719746,10245,2023,81,13
236028,58888,2016,63,57
812832,128319,2015,49,93
723807,40324,2026,76,9
242639,122851,2020,112,40
245325,174735,2024,175,98
939712,21433,2025,109,31
468189,122705,2022,65,14
465394,82656,2017,81,49
805856,156925,2026,15,51
909381,36001,2024,100,67
939221,126210,2015,32,32
760101,151670,2023,96,96
469720,170307,2015,128,53
244296,124568,2017,146,29
778403,92006,2022,113,97
609971,113123,2017,83,93
506651,157058,2018,43,50
877893,104857,2022,116,3
265622,10318,2015,163,60
559321,167916,2020,78,56
188742,125667,2015,58,15
540869,123390,2015,33,64
223354,42743,2022,14,85
271490,120305,2025,162,11
270495,73926,2018,132,73
679892,118966,2026,59,15
754455,23654,2015,157,75
629194,120123,2024,83,42
920873,179897,2021,134,1
468650,13437,2019,121,97
399998,176005,2019,177,17
848821,76209,2015,168,60
352169,157382,2024,83,19
921681,141917,2025,27,94
189359,104228,2020,80,74
926807,134229,2023,134,81
213233,158740,2023,13,44
866180,75725,2022,64,47
586330,62231,2019,147,64
944583,121829,2015,80,79
236823,146373,2023,123,85
606468,138400,2015,43,2
926363,144617,2022,89,67
582785,81227,2019,148,11
664637,148121,2017,95,29
715726,26037,2025,172,83
529997,100286,2021,151,26
663220,6008,2021,2,80
629922,61803,2023,120,47
873892,69131,2021,22,24
214994,74330,2025,115,34
396342,126707,2017,57,54
911817,72998,2025,72,77
865503,83521,2015,7,61
530856,46570,2022,119,94
657502,70319,2026,114,87
393584,44772,2017,16,76
324853,17809,2026,83,61
537048,110604,2022,179,29
452081,121937,2022,72,42
629415,113411,2019,124,12
239856,86111,2026,113,38
930284,71463,2015,12,93
939382,156083,2024,126,43
717585,95839,2021,53,12
592794,88857,2026,75,66
418336,9487,2024,133,97
806622,64718,2019,27,87
707243,71534,2022,140,28
305215,74794,2023,145,46
881414,106530,2025,134,54
813354,98380,2021,97,25
911346,111383,2021,5,27
738804,138855,2015,57,24
652330,147273,2018,156,100
502047,130672,2016,78,75
898201,172217,2016,69,85
846869,8191,2016,118,82
214818,39261,2018,120,96
200303,6324,2015,59,11
469877,118308,2018,33,89
804126,162155,2016,62,7
940203,47609,2019,50,48
295821,167231,2017,112,60
637481,15547,2026,19,36
473286,168526,2022,123,15
926834,66534,2018,47,20
828432,22749,2015,167,83
825513,90028,2015,33,32
540894,49936,2026,141,32
499411,54853,2024,84,93
390523,58776,2017,135,15
223409,145530,2023,79,92
845836,99353,2021,14,93
805934,59479,2016,147,60
949783,111808,2023,128,17
947410,130326,2024,54,16
607682,52709,2016,148,29
772120,77371,2017,29,58
907470,26330,2025,24,16
834228,36701,2024,82,46
370458,124196,2016,63,12
526919,36752,2017,105,55
279453,96904,2020,57,3
914619,129083,2023,136,71
646754,23703,2023,62,6
356055,104280,2021,157,20
697210,49898,2026,17,18
655959,173512,2017,66,84
455785,89620,2018,6,6
267439,146049,2020,58,43
697111,101290,2025,69,60
580637,12597,2019,156,52
774685,115801,2016,62,69
580526,171496,2020,169,81
836180,110282,2017,82,40
604968,148358,2022,169,83
611922,159736,2016,177,32
855023,44914,2015,177,99
490682,42108,2023,71,51
283192,111922,2026,131,74
202163,76930,2017,10,88
761456,151976,2025,98,80
657638,162504,2015,89,86
722141,66849,2021,35,54
343982,46452,2024,2,5
285006,141592,2019,124,50
191199,53091,2019,24,19
449952,148958,2015,74,89
634237,79154,2023,166,24
482028,121821,2021,22,23
516856,21719,2022,154,25
876202,114175,2023,171,65
448157,84059,2020,39,58
575772,107656,2026,157,95
783413,34402,2019,20,42
485338,133953,2020,41,29
659007,155989,2025,148,5
844020,42929,2016,108,1
911131,21750,2018,147,38
293247,9137,2017,84,93
893472,117345,2021,111,53
558930,111241,2023,66,90
378848,100672,2019,158,11
533535,45591,2020,53,10
934625,73409,2024,34,84
559316,109033,2026,150,11
433139,91934,2026,67,6
667719,177862,2016,134,41
364912,28877,2017,27,93
238415,126650,2017,10,69
279237,75756,2026,73,10
278595,79935,2026,96,84
296965,130580,2023,48,85
286897,126176,2021,70,81
673474,178470,2022,100,91
320048,27469,2025,59,24
446164,23219,2024,2,98
870527,131759,2025,157,33
544950,106218,2023,65,81
694019,52978,2020,83,58
312686,18898,2018,154,78
328063,19990,2026,10,63
211469,161483,2015,53,65
310080,38577,2022,79,62
394515,61590,2021,59,78
316298,44665,2016,150,74
248301,67124,2022,179,14
272890,17149,2026,48,83
534800,95835,2019,149,54
338877,16832,2021,123,33
460488,145062,2018,22,52
567631,45900,2019,100,97
711604,99502,2022,98,86
210270,159014,2015,158,84
795546,118904,2015,25,47
663483,98268,2018,28,79
242954,61758,2017,113,39
852656,63275,2024,45,69
889072,122160,2026,68,64
227030,178974,2016,7,25
393196,120822,2026,49,27
800775,102612,2017,137,7
756160,132864,2025,164,14
322081,86411,2025,83,44
341199,15525,2025,129,48
465264,103402,2015,138,17
553083,172584,2015,164,42
656056,35678,2020,73,61
464064,125751,2019,46,24
536152,40163,2022,106,34
755553,98770,2016,160,37
208246,21918,2018,32,51
374376,83815,2022,6,37
729279,137329,2026,176,74
869309,65825,2020,166,33
573992,121360,2015,145,44
589727,144204,2018,74,38
262522,167256,2015,114,19
524508,46062,2016,27,69
590115,74880,2019,54,24
366702,31673,2022,178,30
387317,178685,2022,163,80
470509,167225,2025,85,95
195455,99492,2017,127,68
428001,152356,2025,153,92
342815,96168,2018,156,86
432173,114127,2024,111,49
272217,20597,2025,15,78
865706,137172,2020,132,33
637066,27350,2025,93,47
702909,149562,2025,123,54
787662,141855,2024,73,97
563800,129030,2017,155,85
246929,11328,2016,154,49
593572,58047,2020,147,66
631868,51045,2025,92,21
753988,68024,2019,17,81
512378,20337,2024,43,56
278237,168968,2019,121,54
398507,101915,2024,41,77
459573,58467,2019,170,64
677356,74472,2024,178,8
619499,83260,2026,168,29
454194,110104,2019,39,18
939617,95244,2017,113,74
646447,165894,2021,151,4
362665,91969,2020,111,21
258373,178628,2018,180,60
297702,153999,2016,47,70
369387,41489,2026,63,51
303725,167854,2023,110,87
323657,25364,2015,69,92
399523,148054,2025,43,14
313498,71609,2018,176,96
870509,158646,2015,34,62
241780,156910,2020,40,64
583874,146037,2018,61,10
496006,143255,2019,178,63
936432,58319,2019,62,73
266270,19161,2023,58,59
486349,75522,2015,161,9
926492,35367,2016,75,53
846440,126616,2020,16,94
809145,65567,2019,82,73
378585,175732,2025,94,14
311583,117170,2021,48,96
694855,148934,2017,138,96
895620,28192,2017,82,17
608707,155853,2024,38,81
620142,166483,2016,127,41
395584,90236,2017,19,60
772510,111094,2024,164,45
324024,138842,2015,63,79
429233,35597,2019,77,100
507586,92949,2026,174,80
570860,74766,2019,131,94
366655,30615,2026,102,95
268424,69319,2025,65,10
650177,16930,2021,120,26
402246,9517,2018,91,73
627553,28654,2017,8,60
298859,173545,2015,179,6
550478,101168,2026,73,10
590094,174019,2022,134,53
219904,80687,2017,107,62
439185,59568,2016,89,17
283499,93575,2025,39,18
228799,81915,2018,113,13
942269,23491,2017,28,57
428212,117145,2015,97,1
803603,42807,2017,37,58
376073,113428,2026,137,48
704757,118785,2016,82,47
765375,31604,2022,56,68
638642,15736,2020,85,53
543114,141633,2023,2,73
497118,85465,2022,58,77
448629,15179,2024,107,93
895737,179102,2017,123,80
819577,15112,2019,168,52
923071,126631,2021,164,50
275709,177144,2019,114,24
742768,46857,2022,107,60
902522,29894,2026,37,14
319549,26242,2019,79,94
231202,58073,2015,92,85
750663,22683,2019,18,12
622344,126128,2018,98,79
828208,15901,2020,63,12
287625,94149,2017,150,73
792356,179422,2025,139,9
335253,147445,2019,4,49
306015,112663,2016,135,66
306485,58594,2025,61,73
807223,114182,2020,107,42
692202,97232,2026,54,93
582760,79565,2020,88,78
456299,27874,2019,68,21
855444,160156,2020,129,68
482183,83712,2025,55,74
808782,39059,2021,3,34
518134,69358,2026,166,74
470247,77473,2019,121,90
536263,149819,2015,129,82
412061,133383,2022,102,77
755659,139628,2018,38,64
567095,6930,2023,85,28
358804,77827,2024,157,80
872672,89235,2026,133,37
475596,8359,2020,92,54
598536,50467,2015,21,32
877984,138051,2017,109,32
660663,28994,2017,47,16
270011,98679,2024,84,97
903671,42660,2026,83,15
663335,7121,2026,35,9
437877,47210,2018,69,94
287239,175778,2020,129,56
791399,145269,2021,140,44
657456,172926,2024,27,74
590765,90374,2018,56,39
868297,24204,2020,23,13
787220,100893,2025,153,73
296790,84516,2015,21,18
420026,152762,2022,61,56
371337,22164,2021,63,95
752839,90442,2025,122,94
205820,31259,2025,52,37
618815,61818,2023,88,79
767093,134037,2017,153,62
855110,88303,2016,55,48
443403,70780,2015,46,14
812368,74033,2017,32,38
265186,85403,2019,55,66
831768,142378,2025,96,99
278166,161115,2016,133,1
485911,172184,2026,36,72
793917,142708,2017,110,85
295436,60196,2018,177,96
356524,125424,2021,106,43
736134,81581,2017,58,12
734428,49567,2023,39,28
673684,152153,2022,80,86
714340,11725,2018,97,88
597898,162808,2015,113,64
373885,85759,2015,61,13
446186,116510,2015,137,13
319830,120387,2015,6,48
879507,161646,2022,109,59
629212,116417,2017,35,4
488656,112438,2020,39,69
535744,16664,2017,150,55
909408,95721,2025,169,2
298081,31280,2019,118,10
631397,134051,2021,5,46
569534,94639,2016,170,73
650820,124040,2020,87,83
193945,12293,2020,76,44
851535,19839,2025,158,30
897731,130357,2017,57,97
615153,17615,2020,127,46
716421,17470,2024,29,32
890325,7119,2024,165,45
724574,172388,2019,87,2
297455,134064,2026,141,31
623742,66819,2016,160,52
647171,56894,2023,46,92
506581,66198,2022,116,74
747062,140564,2017,112,79
899463,120740,2022,151,55
892688,37409,2023,45,12
527146,35469,2017,145,40
267193,22219,2017,104,100
938328,120553,2016,85,5
825952,138765,2022,134,88
275990,51383,2024,108,69
889048,8665,2015,18,29
849820,19380,2022,94,78
579505,174376,2021,150,84
635282,56703,2021,33,5
487232,139614,2017,158,11
222166,114316,2015,126,67
438102,71839,2018,160,100
798197,40995,2023,170,3
183567,26243,2019,122,67
436794,112627,2015,138,14
486590,140561,2019,115,66
593795,117683,2022,164,63
888289,97803,2022,162,10
446686,12341,2019,28,69
447154,174486,2026,11,90
747876,144775,2023,167,87
528208,56244,2015,47,3
352946,176495,2018,127,25
528378,110329,2017,147,25
288460,106924,2016,118,46
315818,135913,2022,143,15
563743,147060,2021,126,86
502573,119884,2023,156,78
884431,27417,2016,152,81
459043,64197,2018,72,20
627053,167415,2020,107,2
666844,44308,2025,137,92
190083,70129,2017,175,29
690924,80613,2022,33,66
317088,81896,2017,19,91
920024,112264,2026,74,4
294470,170038,2016,168,1
499261,47121,2017,175,1
245719,26263,2025,157,16
947593,39557,2020,178,6
566690,160212,2016,98,82
638446,118017,2022,141,61
231649,55034,2015,129,99
757470,147791,2021,162,81
341627,155740,2016,93,97
871502,153140,2024,176,24
337958,165812,2026,48,29
326830,49142,2020,177,85
208143,137132,2026,64,25
543492,85594,2016,61,6
614928,152350,2016,157,67
230596,132486,2024,39,81
777156,140878,2022,128,97
529032,119828,2026,88,93
583781,36050,2016,26,13
519387,100380,2021,17,78
488588,177317,2017,71,85
610923,169043,2022,13,70
299535,12555,2021,69,82
320085,33843,2022,26,84
843575,28053,2021,49,45
908509,132046,2025,7,5
467448,148112,2020,58,46
388473,42364,2021,49,21
675880,93524,2019,103,12
494725,152123,2021,53,13
199547,133240,2015,62,70
300237,99892,2015,17,51
731299,108311,2023,171,54
687371,93963,2019,25,75
200864,57071,2019,131,55
350919,103879,2017,29,64
357928,125555,2019,117,9
697357,157832,2017,160,86
195177,116351,2023,26,45
260164,138196,2023,124,16
795935,33013,2020,144,82
317479,85773,2015,25,74
682615,6633,2021,54,6
363401,48169,2021,156,20
256570,132131,2024,73,2
367243,178567,2024,120,28
736146,22356,2018,56,10
838886,75262,2022,65,71
819269,145012,2020,93,53
485831,40706,2018,86,99
694426,102140,2018,80,75
337838,133287,2016,169,62
405724,112797,2016,108,51
870179,37904,2026,179,6
190011,67192,2018,118,8
245842,142164,2019,157,62
340072,101990,2022,83,1
200430,5915,2020,147,5
319705,138173,2018,169,22
628942,11179,2025,173,89
504497,135503,2021,15,46
867357,40434,2022,131,71
809432,172663,2016,139,42
443199,69390,2026,174,18
379756,62213,2021,30,38
472363,31055,2016,57,10
634527,58481,2016,146,78
386409,158414,2022,179,19
660595,179359,2016,128,38
495247,69454,2025,48,99
605076,83507,2023,136,60
515817,131362,2026,22,46
406739,160084,2015,6,55
910309,108783,2023,104,79
767976,73517,2015,36,26
287887,77209,2024,79,64
848720,126733,2024,116,88
555322,5563,2016,57,58
868805,113428,2020,49,45
795889,67211,2020,173,15
507414,143985,2015,82,25
197301,21273,2021,66,95
386882,107935,2022,77,55
597058,89170,2016,45,31
667778,117407,2022,79,42
378574,16349,2023,20,58
287304,106497,2020,123,54
822896,103260,2019,67,70
937990,103116,2026,83,26
584781,110610,2023,3,65
312193,123382,2026,64,45
389677,145873,2025,40,95
194161,52219,2023,59,16
884010,149384,2015,62,15
270668,92195,2025,132,47
623918,18485,2017,60,51
391023,15246,2023,116,70
606717,63492,2025,75,41
681594,142357,2016,122,92
818901,128844,2026,107,48
338944,143008,2018,96,13
188467,95522,2018,91,12
285402,82035,2016,158,98
873014,30804,2017,130,14
852895,62434,2017,62,95
640008,80953,2015,49,28
642398,20505,2020,137,10
692078,43607,2022,92,31
315036,109689,2026,159,62
884097,133741,2017,124,43
502453,179711,2019,61,79
475017,168295,2015,48,62
579567,117449,2024,153,41
216164,78718,2021,164,64
308038,116331,2024,136,98
748286,142489,2015,58,42
243755,25709,2026,101,16
644427,76733,2025,112,41
368919,151965,2023,173,85
479758,72171,2022,62,22
402294,105078,2021,39,95
453868,107860,2024,58,59
733665,37283,2021,99,61
408784,68391,2019,44,32
616132,63539,2019,29,93
546559,9584,2025,59,4
691027,9234,2019,71,30
901359,150547,2015,92,42
744081,52787,2022,9,48
345504,95664,2026,127,48
204011,57277,2025,134,15
381943,169619,2015,157,23
638210,50377,2018,145,10
219598,80190,2023,144,58
562202,157728,2023,131,36
639569,152338,2019,21,57
437368,37568,2018,64,59
773602,145463,2017,90,71
262081,85183,2017,36,55
237856,89520,2026,62,65
740705,28359,2019,170,59
561528,19105,2024,76,66
710070,132389,2015,170,62
514817,91881,2019,13,32
369730,81449,2020,11,25
810709,132664,2021,54,79
795550,138965,2026,16,35
714916,32809,2023,8,55
389552,111789,2017,104,20
634478,28687,2016,59,44
457950,136491,2017,57,53
250518,119967,2026,40,63
886331,172408,2023,130,53
285350,17068,2026,94,37
911683,14985,2021,138,97
523424,54383,2023,44,52
